position,person,personID,start,end
Head of the Republic,Aleksandr Zakharchenko,Q17488307,2014-11-04,2018-08-31
Head of the Republic,Dmitry Trapeznikov,Q56414302,2018-08-31,2018-09-07
Head of the Republic,Denis Pushilin,Q16514790,2018-09-07,2018-11-20
Head of the Republic,Denis Pushilin,Q16514790,2018-11-20,
Chairman of the Council of Ministers,Miroslav Rudenko,Q16833164,2014-04-08,2014-05-15
Chairman of the Council of Ministers,Aleksandr Zakharchenko,Q17488307,2014-08-07,2018-08-31
Chairman of the Council of Ministers,Denis Pushilin,Q16514790,2018-09-07,2018-10-18
Chairman of the Council of Ministers,Alexander Ananchenko,Q57588106,2018-12-01,2022-06-08
Chairman of the Council of Ministers,Vitaliy Khotsenko,Q112286420,2022-06-08,
Deputy Prime Minister,Igor Martynov,Q19008101,2018-12-02,2019-05-16
"Minister for Civil Defence, Emergencies and Disaster Relief",Aleksey Kostrubitskiy,Q108337676,2014,
Minister of Communications,Viktor Yatsenko,Q108060327,2014-11-14,2019-10-11
Minister of Communications,Халепа Игорь Николаевич,Q109948361,2020-10-07,
Minister of Culture,Alexander Parecky,Q56308722,2015-06-27,2015-11
Minister of Culture,Желтяков Михаил Васильевич,Q109984834,2018-12-03,
Minister of Defence,Igor Girkin,Q16474356,2014-05-16,2014-08-14
Minister of Defence,Vladimir Kononov,Q17605491,2014-08-15,2018-10-01
Minister of Foreign Affairs,Ekaterina Gubareva,Q16729474,2014-05-16,2014-08-15
Minister of Foreign Affairs,Alexandru Caraman,Q4721114,2014-08-15,2014-08-28
Minister of Foreign Affairs,Alexander Kofman,Q18634459,2014-11-12,2016-02-23
Minister of Foreign Affairs,Nataliya Nikonorova,Q56651232,2016-02-23,
Minister of State Security,Пинчук Андрей Юрьевич,Q39383275,2014-07-17,2015-03-01
Minister of State Security,"Павленко, Владимир Викторович",Q18275322,2015-12-14,
